"","X1","Squirrel","date","ODBA","Feed","Forage","NestMove","notmoving","Sleep","Travel","Deploy"
"78",6,"J1",2015-04-29,434449.65,20077,24508,2890,7067,28370,3488,"April 2015 Week 1"
"79",7,"J1",2015-04-30,390819.47,17716,21374,2106,10202,31364,3638,"April 2015 Week 1"
"80",1,"H6",2015-04-24,283273.42,26503,12267,5152,15921,25258,1299,"April 2015 Week 1"
"81",2,"H6",2015-04-25,265378.09,28211,10331,6298,21028,19568,964,"April 2015 Week 1"
"82",3,"H6",2015-04-26,298504.03,31725,13184,3550,18906,17642,1393,"April 2015 Week 1"
"83",4,"H6",2015-04-27,298881.9,29248,12809,5566,12751,24611,1415,"April 2015 Week 1"
"84",5,"H6",2015-04-28,325693.73,31087,14891,3005,28203,7487,1727,"April 2015 Week 1"
"85",6,"H6",2015-04-29,282203.61,30764,12120,3507,20666,18071,1272,"April 2015 Week 1"
"86",7,"H6",2015-04-30,310227.55,30419,14118,3849,16359,20024,1631,"April 2015 Week 1"
"87",1,"N8",2015-04-24,397775.72,16824,24788,3241,6103,33272,2172,"April 2015 Week 1"
"88",2,"N8",2015-04-25,467987.06,17299,28199,3053,3731,31343,2775,"April 2015 Week 1"
"89",3,"N8",2015-04-26,448475,17745,27581,2481,3352,32679,2562,"April 2015 Week 1"
"90",4,"N8",2015-04-27,450412.01,16005,26690,4755,3815,32535,2600,"April 2015 Week 1"
"91",5,"N8",2015-04-28,321790.58,18861,16349,4154,8345,37157,1534,"April 2015 Week 1"
"92",6,"N8",2015-04-29,434070.1,15094,27127,3216,6773,31931,2259,"April 2015 Week 1"
"93",7,"N8",2015-04-30,439713.91,15692,26550,4143,3485,34306,2224,"April 2015 Week 1"
"94",1,"O2",2015-04-24,464205.75,14862,27911,3294,4077,32306,3950,"April 2015 Week 1"
"95",2,"O2",2015-04-25,434237.96,13038,26267,3862,2692,36968,3573,"April 2015 Week 1"
"96",3,"O2",2015-04-26,381614.46,16572,23282,3182,3308,37278,2778,"April 2015 Week 1"
"97",4,"O2",2015-04-27,454052.69,15352,25990,3265,3613,34145,4035,"April 2015 Week 1"
"98",5,"O2",2015-04-28,486464.79,16901,25966,3596,3189,32314,4434,"April 2015 Week 1"
"99",6,"O2",2015-04-29,541634.29,14929,31463,2296,2567,29834,5311,"April 2015 Week 1"
"100",7,"O2",2015-04-30,474678.32,17128,27082,3314,4661,29896,4319,"April 2015 Week 1"
"101",1,"P3",2015-04-24,367807.98,27357,17729,7284,4129,28448,1453,"April 2015 Week 1"
"102",2,"P3",2015-04-25,367240.97,29017,17331,6134,6301,26144,1473,"April 2015 Week 1"
"103",3,"P3",2015-04-26,395720.53,28876,20336,4382,8700,22029,2077,"April 2015 Week 1"
"104",4,"P3",2015-04-27,360508.57,27443,18355,3100,13209,22701,1592,"April 2015 Week 1"
"105",5,"P3",2015-04-28,371374,31974,18115,3411,11133,20003,1764,"April 2015 Week 1"
"106",6,"P3",2015-04-29,390529.71,29457,21064,3008,11939,19142,1790,"April 2015 Week 1"
"107",7,"P3",2015-04-30,393763.89,30163,21199,3302,3542,26340,1854,"April 2015 Week 1"
"108",1,"B6",2015-05-03,412203.01,16667,24531,1582,16574,23857,3189,"April 2015 Week 2"
"109",2,"B6",2015-05-04,473330.12,17075,28419,2051,12475,22610,3770,"April 2015 Week 2"
"110",3,"B6",2015-05-05,375415.44,16622,22608,1670,18655,24273,2572,"April 2015 Week 2"
"111",4,"B6",2015-05-06,443704.29,15897,26990,1750,15987,22189,3587,"April 2015 Week 2"
"112",5,"B6",2015-05-07,394816.22,16603,23105,1570,24718,17583,2821,"April 2015 Week 2"
"113",6,"B6",2015-05-08,515123.55,18474,33171,766,18708,11394,3887,"April 2015 Week 2"
"114",7,"B6",2015-05-09,448915.95,15475,27615,1833,18187,19857,3433,"April 2015 Week 2"
"115",1,"C6",2015-05-03,279597.37,17191,16011,3143,3764,44807,1484,"April 2015 Week 2"
"116",2,"C6",2015-05-04,427618.21,19740,26040,2425,1821,33517,2857,"April 2015 Week 2"
"117",3,"C6",2015-05-05,387875.18,19877,23511,2794,2382,35486,2350,"April 2015 Week 2"
"118",4,"C6",2015-05-06,373875.91,19853,23461,2866,1013,37262,1945,"April 2015 Week 2"
"119",5,"C6",2015-05-07,368016.73,20079,22200,3198,3529,35142,2252,"April 2015 Week 2"
"120",6,"C6",2015-05-08,449220.18,21728,29431,2169,1856,28521,2695,"April 2015 Week 2"
"121",7,"C6",2015-05-09,410097.32,19093,26323,3562,2040,33188,2194,"April 2015 Week 2"
"122",1,"I16",2015-05-03,391978.21,24746,20185,3288,11147,24543,2491,"April 2015 Week 2"
"123",2,"I16",2015-05-04,468575.66,24986,24088,4047,5695,23945,3639,"April 2015 Week 2"
"124",3,"I16",2015-05-05,407384.77,26127,19654,4305,8073,25274,2967,"April 2015 Week 2"
"125",4,"I16",2015-05-06,401868.73,26354,19148,4415,5472,27985,3026,"April 2015 Week 2"
"126",5,"I16",2015-05-07,398515.52,26468,19307,3282,15209,19205,2929,"April 2015 Week 2"
"127",6,"I16",2015-05-08,436999.09,26016,22260,3365,8020,23248,3491,"April 2015 Week 2"
"128",7,"I16",2015-05-09,418130.29,27231,21541,1991,12195,20459,2983,"April 2015 Week 2"
"129",1,"M14",2015-05-03,320207.35,28027,13760,7568,8645,27232,1168,"April 2015 Week 2"
"130",2,"M14",2015-05-04,305252.57,28104,12954,5163,16032,22837,1310,"April 2015 Week 2"
"131",3,"M14",2015-05-05,305761.87,29881,13626,4087,25217,12343,1246,"April 2015 Week 2"
"132",4,"M14",2015-05-06,312496.22,32506,13410,2986,24911,11197,1390,"April 2015 Week 2"
"133",5,"M14",2015-05-07,336256.99,31946,14977,4590,21962,11143,1782,"April 2015 Week 2"
"134",6,"M14",2015-05-08,362748.75,34757,18432,1732,19396,10219,1864,"April 2015 Week 2"
"135",7,"M14",2015-05-09,345336.95,32750,16717,2562,11945,20602,1824,"April 2015 Week 2"
"136",1,"M7",2015-05-03,448861.05,30952,23108,2520,5630,20842,3348,"April 2015 Week 2"
"137",2,"M7",2015-05-04,459773.86,30982,23465,2797,5721,19695,3740,"April 2015 Week 2"
"138",3,"M7",2015-05-05,452524.04,33943,23132,1690,14200,10182,3253,"April 2015 Week 2"
"139",4,"M7",2015-05-06,451152.87,32704,22641,2378,13875,11508,3294,"April 2015 Week 2"
"140",5,"M7",2015-05-07,472163.34,33267,23499,2331,9751,13740,3812,"April 2015 Week 2"
"141",6,"M7",2015-05-08,513527.22,31024,25382,2866,10172,11911,5045,"April 2015 Week 2"
"142",7,"M7",2015-05-09,504054.73,30013,25860,2150,8792,14974,4611,"April 2015 Week 2"
"143",1,"n013",2015-05-04,313094.76,23544,17813,2339,3957,37321,1426,"April 2015 Week 2"
"144",2,"n013",2015-05-05,404976.8,17156,22590,3720,4949,35130,2855,"April 2015 Week 2"
"145",3,"n013",2015-05-06,474645.64,16994,28438,2249,2995,32321,3403,"April 2015 Week 2"
"146",4,"n013",2015-05-07,424442.69,17245,24540,2692,7388,31338,3197,"April 2015 Week 2"
"147",5,"n013",2015-05-08,540771.34,17764,31126,2205,5293,25285,4727,"April 2015 Week 2"
"148",6,"n013",2015-05-09,520684.7,17448,31011,2003,3698,28007,4233,"April 2015 Week 2"
"149",1,"n13",2015-05-03,451420.09,24757,22909,1797,14426,19234,3277,"April 2015 Week 2"
"150",2,"n13",2015-05-04,445749.18,26785,22569,2868,10701,20474,3003,"April 2015 Week 2"
"151",3,"n13",2015-05-05,452578.74,26505,24026,1528,13948,17155,3238,"April 2015 Week 2"
"152",4,"n13",2015-05-06,477463.42,26092,25967,1686,11507,17572,3576,"April 2015 Week 2"
